case_id,category,question,code,fail_reason,sql
40,单表聚合查询,各渠道销售额排名,5003,"期望 code=(2000,) 实际 5003",
73,时间范围查询,最近90天订单数,5003,"期望 code=(2000,) 实际 5003",
79,模糊语义查询,最便宜的商品,5003,"期望 code=(2000,) 实际 5003",
82,模糊语义查询,大客户消费,5003,"期望 code=(2000,) 实际 5003",
87,模糊语义查询,下单量,4001,"期望 code=(2000,) 实际 4001",
91,复杂嵌套查询,消费金额超过平均值的用户有哪些,5003,"期望 code=(2000,) 实际 5003",
126,大数据量性能测试,订单金额分布,5000,"期望 code=(2000,) 实际 5000",
130,大数据量性能测试,销量排名前100,5003,"期望 code=(2000,) 实际 5003",
115,权限隔离测试,销售额排名,5003,期望含region IN，实际 code=5003 sql=,
142,并发测试,5人问不同问题,2000,"codes=[2000, 2000, 5003, 2000, 2000]",
